epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.837,1.28585,2.30215,1.4437,0.53543,0.59423,0.56676,0.37311,1.12324,1.95702,1.41174,0.000332768,0.000332768,0.000332768
2,238.492,1.43708,2.25533,1.56342,0.41734,0.34188,0.35763,0.19097,1.53075,2.9226,1.83844,0.000652913,0.000652913,0.000652913
3,342.937,1.46015,2.19463,1.59099,0.57513,0.36936,0.4556,0.25868,1.46751,2.19813,1.6971,0.000959857,0.000959857,0.000959857
4,448.302,1.45109,2.06329,1.56185,0.33978,0.48773,0.40316,0.23517,1.43568,2.09378,1.62359,0.0009406,0.0009406,0.0009406
5,553.746,1.45774,1.98555,1.58526,0.53378,0.44969,0.47573,0.2834,1.43407,1.96747,1.63761,0.0009208,0.0009208,0.0009208
6,679.518,1.40105,1.96297,1.54933,0.58798,0.58094,0.6119,0.3928,1.22512,1.46695,1.46325,0.000901,0.000901,0.000901
7,783.505,1.36951,1.78533,1.52206,0.60389,0.49056,0.5775,0.35481,1.37408,1.83038,1.60197,0.0008812,0.0008812,0.0008812
8,886.96,1.31048,1.68489,1.48548,0.74921,0.53373,0.65575,0.43218,1.16475,1.47088,1.40067,0.0008614,0.0008614,0.0008614
9,990.269,1.31595,1.68627,1.4764,0.63238,0.53815,0.60748,0.3813,1.28149,1.54785,1.50082,0.0008416,0.0008416,0.0008416
10,1096.82,1.26955,1.59758,1.45948,0.65984,0.61533,0.65032,0.41893,1.23787,1.40774,1.47704,0.0008218,0.0008218,0.0008218
11,1202.81,1.2079,1.47763,1.4111,0.55641,0.58454,0.59985,0.40643,1.23799,1.50205,1.49815,0.000802,0.000802,0.000802
12,1308.93,1.21199,1.44116,1.41145,0.69279,0.59859,0.72629,0.49806,1.07066,1.22269,1.36794,0.0007822,0.0007822,0.0007822
13,1411.56,1.19105,1.3977,1.39402,0.5857,0.53704,0.56196,0.3568,1.2162,1.63987,1.48615,0.0007624,0.0007624,0.0007624
14,1536.64,1.15238,1.40614,1.3836,0.72921,0.65293,0.68874,0.45912,1.13107,1.20738,1.38243,0.0007426,0.0007426,0.0007426
15,1651.79,1.16332,1.27849,1.36747,0.6919,0.54149,0.68325,0.46105,1.13041,1.47649,1.37577,0.0007228,0.0007228,0.0007228
16,1754.78,1.12928,1.25038,1.36321,0.69658,0.66431,0.75049,0.51898,1.10145,1.1748,1.37984,0.000703,0.000703,0.000703
17,1856.89,1.11492,1.22306,1.33717,0.84384,0.6934,0.80612,0.57852,1.04755,1.1536,1.30663,0.0006832,0.0006832,0.0006832
18,1955.52,1.10741,1.2519,1.33579,0.70921,0.64992,0.73526,0.51287,1.21067,1.34938,1.41258,0.0006634,0.0006634,0.0006634
19,2053.12,1.09607,1.18349,1.33047,0.74081,0.5961,0.73298,0.51536,1.14062,1.47175,1.35763,0.0006436,0.0006436,0.0006436
20,2153.49,1.06914,1.1334,1.31118,0.74285,0.67693,0.76884,0.53513,0.98945,1.24017,1.25689,0.0006238,0.0006238,0.0006238
21,2251.14,1.06725,1.13819,1.29655,0.80633,0.69896,0.79558,0.5542,1.0674,1.04649,1.32056,0.000604,0.000604,0.000604
22,2348.98,1.05077,1.11604,1.2793,0.7518,0.69767,0.75809,0.54738,0.96383,1.08642,1.25193,0.0005842,0.0005842,0.0005842
23,2446.31,1.0185,1.06312,1.27713,0.78173,0.69552,0.79922,0.57073,0.9585,0.97418,1.24012,0.0005644,0.0005644,0.0005644
24,2546.1,1.04241,1.0524,1.29305,0.799,0.71487,0.79879,0.58507,1.02726,1.02296,1.25929,0.0005446,0.0005446,0.0005446
25,2643.93,1.02764,1.05463,1.28283,0.72955,0.69808,0.7636,0.54589,0.9629,1.02408,1.23164,0.0005248,0.0005248,0.0005248
